id	send_uid	recv_uid	cp_num	cp_cycle_day	created	updated
2055	12463023	12466744	39	2019-12-19	2019-12-20 16:26:08	2019-12-20 16:26:08
2057	12430968	12461399	99	2019-12-19	2019-12-20 16:49:57	2019-12-20 16:49:57
2060	12467326	12467788	198	2019-12-19	2019-12-20 17:24:06	2019-12-21 20:20:54
2062	12079620	12467326	138	2019-12-19	2019-12-20 17:28:09	2019-12-20 22:14:43
2068	12337636	12401226	99	2019-12-19	2019-12-20 18:03:16	2019-12-20 18:03:16
2069	12401226	12466787	198	2019-12-19	2019-12-20 18:03:24	2019-12-20 18:58:33
2072	12394470	12466153	99	2019-12-19	2019-12-20 18:03:48	2019-12-20 18:03:48
2074	12459458	12466153	1413	2019-12-19	2019-12-20 18:03:48	2019-12-25 18:10:54
2075	12463195	12466153	237	2019-12-19	2019-12-20 18:03:48	2019-12-24 00:23:20
2077	12459458	12467790	39	2019-12-19	2019-12-20 18:18:34	2019-12-20 18:18:34
2079	12459458	12466464	39	2019-12-19	2019-12-20 18:35:31	2019-12-20 18:35:31
2080	12456817	12459458	39	2019-12-19	2019-12-20 18:38:41	2019-12-20 18:38:41
2082	12464392	12466071	39	2019-12-19	2019-12-20 18:49:07	2019-12-20 18:49:07
2083	12401226	12408509	99	2019-12-19	2019-12-20 18:58:33	2019-12-20 18:58:33
2090	12361563	12466880	99	2019-12-19	2019-12-20 19:00:26	2019-12-20 19:00:26
2091	12099947	12466880	99	2019-12-19	2019-12-20 19:00:37	2019-12-20 19:00:37
2092	12395813	12466880	39	2019-12-19	2019-12-20 19:00:53	2019-12-20 19:00:53
2093	12389381	12460186	99	2019-12-19	2019-12-20 19:11:39	2019-12-20 19:11:39
2097	12434309	12460186	393	2019-12-19	2019-12-20 19:20:26	2019-12-24 17:39:51
2098	12462597	12463823	7644	2019-12-19	2019-12-20 19:22:15	2019-12-25 23:13:19
2101	12415342	12460186	99	2019-12-19	2019-12-20 19:27:44	2019-12-20 19:27:44
2102	12408509	12460186	99	2019-12-19	2019-12-20 19:36:42	2019-12-20 19:36:42
2103	12462577	12463823	8493	2019-12-19	2019-12-20 19:54:39	2019-12-24 01:55:21
2104	12385060	12424293	6741	2019-12-19	2019-12-20 19:57:56	2019-12-25 18:10:43
2107	12460186	12463195	138	2019-12-19	2019-12-20 20:04:35	2019-12-23 19:23:01
2108	12463244	12463823	99	2019-12-19	2019-12-20 20:10:17	2019-12-20 20:10:17
2109	12404166	12457229	1098	2019-12-19	2019-12-20 20:12:59	2019-12-20 20:13:39
2111	12464392	12467789	297	2019-12-19	2019-12-20 20:15:57	2019-12-24 22:53:16
2112	12459932	12467789	39	2019-12-19	2019-12-20 20:16:17	2019-12-20 20:16:17
2113	12352301	12388886	39	2019-12-19	2019-12-20 20:20:08	2019-12-20 20:20:08
2115	12453108	12464392	138	2019-12-19	2019-12-20 20:39:01	2019-12-20 21:04:41
2117	12409083	12457229	999	2019-12-19	2019-12-20 21:04:17	2019-12-20 21:04:17
2119	12457545	12460311	99	2019-12-19	2019-12-20 21:10:10	2019-12-20 21:10:10
2124	12457769	12460311	396	2019-12-19	2019-12-20 21:25:45	2019-12-21 23:01:35
2126	12460311	12467332	198	2019-12-19	2019-12-20 21:39:13	2019-12-21 21:41:33
2128	12404299	12405484	138	2019-12-19	2019-12-20 21:52:08	2019-12-20 21:52:45
2136	12410450	12460311	99	2019-12-19	2019-12-20 21:56:33	2019-12-20 21:56:33
2138	12467326	12467616	2550	2019-12-19	2019-12-20 22:14:06	2019-12-24 22:31:12
2140	12463053	12467326	297	2019-12-19	2019-12-20 22:22:05	2019-12-22 23:41:39
2142	12460311	12467905	99	2019-12-19	2019-12-20 22:30:21	2019-12-20 22:30:21
2144	12420472	12460311	177	2019-12-19	2019-12-20 22:35:14	2019-12-21 22:46:52
2146	12406094	12463823	39	2019-12-19	2019-12-20 22:46:22	2019-12-20 22:46:22
2148	12352301	12460311	39	2019-12-19	2019-12-20 22:50:49	2019-12-20 22:50:49
2149	12460311	12467138	39	2019-12-19	2019-12-20 22:51:03	2019-12-20 22:51:03
2150	12460311	12462340	138	2019-12-19	2019-12-20 22:51:10	2019-12-21 19:42:26
2151	12460311	12466369	39	2019-12-19	2019-12-20 22:59:45	2019-12-20 22:59:45
